,bad_words_score,Lengths,Sentiment,score_array,polarity,subjectivity
379,0,18,68.0,68.0,0.6,0.8
380,0,15,0.0,0.0,0.0,0.0
381,0,20,0.0,0.0,0.0,0.0
382,0,19,0.0,0.0,0.0,0.0
383,200,17,0.0,200.0,0.0,0.0
384,0,21,0.0,0.0,0.0,0.0
385,0,21,11.642857142857142,11.642857142857142,0.09523809523809523,0.2119047619047619
386,0,10,0.0,0.0,0.0,0.0
387,0,13,55.0,55.0,0.5,0.5
388,0,19,0.0,0.0,0.0,0.0
389,0,15,-3.5357142857142865,-3.5357142857142865,-0.10714285714285715,0.7178571428571429
390,0,22,25.5,25.5,0.19999999999999998,0.55
391,0,9,0.0,0.0,0.0,0.0
392,0,23,46.964285714285715,46.964285714285715,0.39285714285714285,0.7678571428571428
393,0,11,0.0,0.0,0.0,0.0
394,0,17,-51.0,-51.0,-0.6,0.9
395,0,25,0.0,0.0,0.0,0.0
396,0,21,5.5,5.5,0.0,0.55
397,0,11,-4.5,-4.5,-0.05,0.05
398,0,22,0.0,0.0,0.0,0.0
399,800,18,28.5,828.5,0.2,0.85
400,200,28,0.916666666666667,200.91666666666666,-0.049999999999999996,0.5916666666666667
401,0,1,0.0,0.0,0.0,0.0
402,0,19,56.94444444444444,56.94444444444444,0.5,0.6944444444444444
403,200,21,3.0909090909090904,203.0909090909091,-0.03181818181818183,0.6272727272727273
404,0,20,1.0,1.0,0.0,0.1
405,200,24,0.0,200.0,0.0,0.0
406,0,21,0.0,0.0,0.0,0.0
407,0,14,79.0,79.0,0.75,0.4
408,0,4,0.0,0.0,0.0,0.0
409,0,23,0.0,0.0,0.0,0.0
410,0,23,56.125,56.125,0.5,0.6125
411,0,16,-60.0,-60.0,-0.7,1.0
412,0,27,-19.5,-19.5,-0.25,0.55
413,0,23,103.0,103.0,1.0,0.3
414,200,15,-13.75,186.25,-0.1875,0.5
415,0,22,0.5,0.5,0.0,0.05
416,0,11,0.0,0.0,0.0,0.0
417,0,17,33.92857142857142,33.92857142857142,0.2857142857142857,0.5357142857142857
418,200,19,0.0,200.0,0.0,0.0
419,0,20,40.666666666666664,40.666666666666664,0.3333333333333333,0.7333333333333334
420,0,24,13.749999999999998,13.749999999999998,0.08749999999999998,0.5
421,0,13,0.0,0.0,0.0,0.0
422,200,18,35.0,235.0,0.25,1.0
423,0,10,0.0,0.0,0.0,0.0
424,0,17,41.5,41.5,0.35,0.65
425,0,17,0.0,0.0,0.0,0.0
426,200,27,-0.23611111111111072,199.76388888888889,-0.0375,0.3513888888888889
427,0,32,-26.666666666666664,-26.666666666666664,-0.3333333333333333,0.6666666666666666
428,200,27,55.0,255.0,0.5,0.5
429,0,14,-8.0,-8.0,-0.1,0.2
430,0,24,-6.0,-6.0,-0.1,0.4
431,0,22,19.166666666666664,19.166666666666664,0.16666666666666666,0.25
432,0,22,0.0,0.0,0.0,0.0
433,0,26,2.5,2.5,-0.03571428571428571,0.6071428571428571
434,0,3,-40.0,-40.0,-0.5,1.0
435,0,13,0.0,0.0,0.0,0.0
436,0,16,0.0,0.0,0.0,0.0
437,0,18,-18.0,-18.0,-0.2,0.2
438,0,28,46.66666666666667,46.66666666666667,0.4166666666666667,0.5
439,200,20,41.5,241.5,0.35,0.65
440,200,17,0.0,200.0,0.0,0.0
441,800,21,-23.000000000000004,777.0,-0.30000000000000004,0.7
442,0,17,33.0,33.0,0.25,0.8
443,0,16,87.5,87.5,0.8,0.75
444,0,15,0.0,0.0,0.0,0.0
